CID,IDSURVEY,zHD,zHEL,MU,MUERR
1319898,10,0.7286,0.72925,43.13384,0.1771
1299712,10,0.73064,0.73129,43.22599,0.1392
1297070,10,0.73069,0.73135,43.05247,0.168
1555053,10,0.73072,0.73139,43.30631,0.1456
1264689,10,0.73162,0.73303,43.24328,0.2076
1338718,10,0.73306,0.73429,43.41387,0.1285
1265644,10,0.73469,0.73534,43.38401,0.3149
1770254,10,0.7348,0.7362,43.22861,0.2379
1290043,10,0.73488,0.73556,43.27814,0.1854
1617030,10,0.73615,0.73681,43.19871,0.2303
1297490,10,0.73677,0.73743,43.19219,0.2383
1302185,10,0.73717,0.73783,43.39277,0.2572
1315947,10,0.73781,0.73849,43.12842,0.1531
1692030,10,0.73802,0.73942,42.96655,0.2004
1280807,10,0.73899,0.73965,43.33248,0.2026
1252822,10,0.73927,0.7407,43.30297,0.1273
1309376,10,0.74009,0.74073,43.42073,0.1588
1307783,10,0.74061,0.7413,43.58119,0.2452
1700109,10,0.74119,0.74189,43.5003,0.2446
1304841,10,0.74126,0.74249,43.48113,0.1829
1260522,10,0.74133,0.74274,43.39906,0.1639
1296802,10,0.74392,0.74534,43.13182,0.1725
1317372,10,0.74393,0.74535,43.2347,0.1831
1537077,10,0.7445,0.74518,43.10547,0.2244
1257605,10,0.74535,0.74605,43.18219,0.179
1898252,10,0.74571,0.74631,43.16479,0.1228
1250882,10,0.74658,0.74728,43.44188,6.7654
1295800,10,0.74855,0.74924,43.4209,0.2713
1864046,10,0.7487,0.74939,43.61985,0.214
1337549,10,0.74877,0.74939,43.45196,0.1508
1302027,10,0.74899,0.74959,43.26925,0.1639
1251409,10,0.74963,0.75092,43.34886,0.1199
1933196,10,0.75011,0.75074,43.12881,0.1337
1488098,10,0.75076,0.75217,43.23451,0.1617
1310964,10,0.75147,0.7521,43.43784,0.171
1302550,10,0.75249,0.75391,43.13267,0.1703
1380167,10,0.75331,0.75399,43.16429,0.1731
1929022,10,0.75356,0.7542,43.51644,0.148
1293028,10,0.75366,0.75509,43.26171,0.6832
1304506,10,0.75421,0.75488,43.43701,0.1753
1308453,10,0.75572,0.75712,43.51615,0.2293
1263788,10,0.75729,0.75796,43.40246,0.4836
1536112,10,0.75888,0.75956,43.36227,0.1504
1552143,10,0.75991,0.76058,43.31795,0.1348
1304362,10,0.76177,0.76303,43.54985,0.1725
1330350,10,0.76303,0.76374,43.38159,0.1797
1302399,10,0.76495,0.76565,43.35806,335.5034
1249178,10,0.76517,0.76649,43.48166,0.1567
1700105,10,0.76518,0.76588,43.30284,266.7506
1881037,10,0.76584,0.76652,43.39145,0.1608
1904182,10,0.76657,0.76798,43.25469,0.2514
1576034,10,0.76675,0.768,43.62563,0.1375
1251645,10,0.76679,0.7682,43.5274,0.2073
1303881,10,0.77004,0.77131,43.35937,0.1482
1280135,10,0.77082,0.7715,43.4342,0.1822
1323740,10,0.77137,0.77207,43.25245,0.1765
1251652,10,0.77155,0.77295,43.30358,0.1713
1303257,10,0.77159,0.77301,43.61245,0.264
1339327,10,0.7725,0.77378,43.44308,0.1481
1310178,10,0.77262,0.77389,43.45688,0.1248
1259589,10,0.77327,0.77474,43.49687,0.1462
1338940,10,0.77334,0.77404,43.6523,0.228
1307073,10,0.77464,0.77594,43.27274,0.1849
1309215,10,0.77464,0.77536,43.13337,0.1732
1316487,10,0.77627,0.77696,43.85273,0.3073
1330403,10,0.7765,0.77713,43.29712,0.1202
1262899,10,0.77692,0.77759,43.04164,372.266
1250852,10,0.77725,0.77796,43.37835,0.1483
1889155,10,0.77826,0.77966,43.09666,0.2862
1590122,10,0.77952,0.78017,43.3866,0.1256
1861451,10,0.78049,0.7819,43.1707,0.1443
1652139,10,0.78266,0.78334,43.41133,0.1738
1948295,10,0.78324,0.78386,43.69805,0.1348
1833468,10,0.78375,0.78516,43.54682,0.4519
1331887,10,0.78398,0.78539,43.2028,0.1916
1343542,10,0.78512,0.78644,43.03054,0.1291
1318158,10,0.78604,0.78733,43.58471,0.1448
1250454,10,0.78734,0.7888,43.57536,0.136
1320474,10,0.78842,0.78908,43.38943,0.1471
1856065,10,0.78892,0.79034,43.81522,0.3133
1255501,10,0.78956,0.79103,43.47114,0.121
1434262,10,0.78964,0.79106,43.30747,0.1375
1254566,10,0.79118,0.79259,43.61294,0.2029
1332701,10,0.79167,0.79232,43.32008,0.1194
1302705,10,0.79229,0.79358,43.39748,0.1293
1347112,10,0.79318,0.79389,43.28547,0.2443
1891070,10,0.79348,0.79478,43.617,0.1197
1409129,10,0.79364,0.79436,43.4061,0.2116
1271436,10,0.79511,0.79583,43.33284,0.1637
1290176,10,0.7953,0.79602,43.37373,0.242
1303699,10,0.79547,0.79621,43.28644,0.1709
1325191,10,0.7981,0.79883,43.56898,0.3042
1265349,10,0.79939,0.80084,43.43079,0.2117
1535064,10,0.80078,0.8022,43.6954,0.1825
1385052,10,0.80106,0.8025,43.56228,0.1572
1299258,10,0.80109,0.80255,43.35374,0.1474
1502132,10,0.80181,0.80326,43.60623,0.2247
1551083,10,0.80301,0.80373,43.61299,0.2177
1579146,10,0.80325,0.80472,43.3846,0.1381
1334321,10,0.80326,0.80454,43.2821,0.1337
1367180,10,0.80342,0.80489,43.40055,0.1537
1330970,10,0.80669,0.80736,43.42993,0.1487
1280113,10,0.8086,0.80993,43.79852,0.1691
1309696,10,0.80954,0.81086,43.72414,0.1434
1315974,10,0.81174,0.81246,43.55813,0.2209
1642117,10,0.81237,0.81384,43.49664,0.1821
1293832,10,0.81325,0.81398,43.34781,0.1574
1252595,10,0.8133,0.814,43.78931,0.3175
1600036,10,0.81396,0.8153,43.61778,0.1746
1898053,10,0.81485,0.81614,43.63286,0.1297
1300777,10,0.81684,0.8183,43.36027,0.1433
1260427,10,0.8175,0.81895,43.47237,0.145
1339291,10,0.8179,0.81924,43.81001,0.1409
1255824,10,0.81852,0.82,43.47335,0.2312
1330599,10,0.81932,0.8208,43.58242,0.3119
1250980,10,0.81967,0.82115,43.7722,0.1858
1879412,10,0.81984,0.82132,43.5881,0.1897
1339227,10,0.82081,0.82152,43.44984,0.1513
1251618,10,0.82172,0.82318,43.89282,0.1877
1258529,10,0.82394,0.82542,43.78838,0.2611
1341271,10,0.82584,0.82656,43.55253,0.2217
1645145,10,0.82627,0.82775,43.64768,0.1413
1334581,10,0.82736,0.82885,43.32314,0.2211
1336957,10,0.82961,0.83031,43.43182,0.1454
1341227,10,0.83036,0.83108,43.41606,0.1466
1246791,10,0.83066,0.83213,43.27814,0.1841
1936293,10,0.83168,0.8324,43.83167,0.1692
1305541,10,0.83293,0.83438,43.46667,0.1424
1252918,10,0.83583,0.83727,43.68398,0.1535
1390345,10,0.83592,0.83741,43.72583,0.2143
1411114,10,0.83706,0.83777,43.66835,0.1415
1861472,10,0.83776,0.83925,43.6059,0.2588
1581017,10,0.83813,0.83888,43.80318,0.2422
1826039,10,0.83916,0.83988,43.5568,0.2421
1946246,10,0.83936,0.84007,43.65009,0.3847
1876462,10,0.83954,0.841,43.85502,0.4013
1253972,10,0.84019,0.8409,43.26195,257.0256
1257646,10,0.84094,0.84169,43.58194,0.2724
1872097,10,0.84132,0.84207,43.72978,0.3452
1322975,10,0.84634,0.84705,43.90282,0.2792
1253871,10,0.8478,0.8493,44.05907,0.4037
1508029,10,0.85279,0.8535,43.59824,0.2624
1253857,10,0.85652,0.858,43.7311,0.2627
1260459,10,0.85674,0.85824,43.53096,0.1923
1250858,10,0.85707,0.85778,43.69555,0.2935
1338749,10,0.85806,0.85956,43.42559,0.2511
1260461,10,0.85855,0.86005,43.68131,0.2528
1295291,10,0.86179,0.86329,43.90745,0.3057
1479130,10,0.8624,0.8639,43.52442,0.2499
1296161,10,0.86243,0.86394,43.85584,0.2481
1297532,10,0.86461,0.86532,43.50443,0.2376
1912270,10,0.86642,0.86715,43.98461,468.0108
1551108,10,0.86647,0.868,44.1604,0.2643
1317956,10,0.86917,0.87068,43.74519,0.3297
1302199,10,0.87001,0.87076,43.37453,0.1886
1295550,10,0.8727,0.87345,43.83427,0.4223
1778026,10,0.87344,0.87417,43.76997,0.2501
1912066,10,0.87344,0.87417,43.6187,0.1963
1342580,10,0.87472,0.87622,43.35891,0.1899
1879483,10,0.87565,0.87716,43.42748,0.1315
1250896,10,0.87971,0.8812,43.79315,0.1846
1817265,10,0.87998,0.88074,44.24023,0.691
1456020,10,0.88189,0.8834,43.87985,0.2923
1262231,10,0.88314,0.88385,43.70035,0.2346
1371111,10,0.88352,0.885,43.66049,0.1503
1878692,10,0.8845,0.886,43.81837,0.2247
1295527,10,0.88491,0.88568,43.55987,0.2039
1252237,10,0.8858,0.88655,43.80242,0.9842
1253761,10,0.89441,0.89595,44.18718,0.211
1936125,10,0.8953,0.89603,43.42454,0.1775
1402076,10,0.89611,0.89762,44.02033,200.7308
1372115,10,0.89842,0.89915,44.01759,0.2017
1305486,10,0.89888,0.9004,43.64144,0.1467
1253816,10,0.90824,0.90975,44.03794,0.1935
1246650,10,0.90888,0.91042,43.96676,0.1778
1595118,10,0.90941,0.91014,43.44688,0.2021
1904300,10,0.91082,0.91159,44.00974,0.2397
1299266,10,0.91289,0.9144,43.94543,0.1776
1901832,10,0.91696,0.91849,43.81609,0.2238
1255737,10,0.91896,0.92049,43.99813,0.273
1307843,10,0.92146,0.9222,44.15716,0.307
1346612,10,0.92274,0.92348,44.05509,0.2459
1252926,10,0.92427,0.92582,43.53843,0.1469
1339176,10,0.92537,0.92613,44.62596,0.341
1309227,10,0.92576,0.92649,44.13871,0.1988
1892072,10,0.92838,0.92912,43.72325,3.8474
1617068,10,0.93075,0.9323,43.84946,0.1804
1370441,10,0.93733,0.93806,43.89162,0.1592
1262782,10,0.94444,0.94602,43.77582,0.2108
1252620,10,0.95299,0.95453,43.72467,0.1978
1256028,10,0.95521,0.95596,43.94157,0.2143
1395159,10,0.9569,0.95845,44.31416,0.1857
1339246,10,0.95791,0.95867,44.56228,0.266
1309509,10,0.96296,0.96373,44.11193,0.212
1250803,10,0.96329,0.96406,44.13386,0.2209
1339276,10,0.96363,0.96519,43.79246,0.1456
1254108,10,0.96689,0.96764,44.14888,0.1884
1339232,10,0.96859,0.96937,43.72233,0.1471
1252183,10,0.97242,0.97319,44.20208,0.1696
1252665,10,0.97489,0.97567,44.18118,0.2045
1559048,10,0.98,0.98157,44.12,0.2005
1255798,10,0.98024,0.981,44.02836,0.1688
1299327,10,0.98158,0.98316,43.88271,0.1318
1252671,10,0.98536,0.98614,43.86467,0.1246
1901899,10,0.98846,0.98922,44.16508,0.1691
1935095,10,0.99268,0.99427,43.88061,0.1729
1447146,10,1.00009,1.00089,44.24308,0.3059
1309870,10,1.01382,1.01459,44.17186,0.2347
1435094,10,1.017,1.01778,43.92261,0.1354
1430116,10,1.02144,1.02222,44.16439,0.178
1257228,10,1.02433,1.02514,44.01661,176.3295
1303722,10,1.02468,1.02547,44.35374,0.1895
1263125,10,1.02868,1.02947,44.24721,0.1766
1901375,10,1.03222,1.033,44.28814,0.1421
1924188,10,1.04136,1.04215,43.97348,0.1353
1311921,10,1.04436,1.046,44.00793,0.228
1255169,10,1.0468,1.04763,43.91152,0.133
1337541,10,1.05479,1.05561,44.04047,0.2373
1263785,10,1.0642,1.06498,44.23028,0.1451
1842087,10,1.08349,1.0843,44.52159,0.1518
1339609,10,1.12132,1.12212,44.20175,0.1075
1446080,10,1.13057,1.1314,44.5271,0.1585
1257587,10,1.14418,1.14501,44.31733,0.1512
