CID,IDSURVEY,zHD,zHEL,MU,MUERR
1334087,10,0.26628,0.26722,40.58229,0.1056
1300390,10,0.26765,0.2686,40.66311,0.1529
1319870,10,0.26767,0.26812,42.34894,219.2544
1249970,10,0.26775,0.26866,40.88779,0.1635
1309288,10,0.26793,0.26838,40.59362,0.1009
1560034,10,0.26891,0.26982,40.7573,0.1768
1320704,10,0.26996,0.27087,40.44445,0.1428
1309874,10,0.27001,0.27092,40.6088,0.1206
1330817,10,0.27051,0.27144,40.90091,0.1111
1366690,10,0.27119,0.27223,40.77037,0.1154
1773078,10,0.27142,0.27235,40.6058,0.1249
1278493,10,0.27237,0.2734,40.69293,0.1247
1968046,10,0.27255,0.27302,40.77936,0.115
1292332,10,0.27265,0.27358,40.67029,0.1033
1260050,10,0.27278,0.27372,40.65338,0.1059
1574104,10,0.27304,0.27399,40.70865,0.1137
1502065,10,0.27316,0.27405,40.71483,0.1397
1250279,10,0.27382,0.27476,40.46812,0.098
1260556,10,0.27437,0.27487,40.7618,0.1667
1339756,10,0.27539,0.27633,40.69707,0.1095
1547086,10,0.27578,0.27627,41.07373,0.2755
1305756,10,0.27589,0.27638,40.66582,0.6008
1368133,10,0.27618,0.2772,40.76795,0.2444
1792093,10,0.27659,0.27761,40.82561,0.081
1503024,10,0.27694,0.27798,40.92631,0.1242
1297465,10,0.27784,0.27836,41.00841,0.1548
1291242,10,0.27905,0.28008,40.89237,0.2187
1261963,10,0.27963,0.28053,40.93028,0.2183
1255576,10,0.2801,0.28112,40.7781,0.1056
1248084,10,0.28063,0.28165,40.69969,0.1279
1290967,10,0.2811,0.28158,40.48691,0.2756
1902212,10,0.28169,0.28219,41.08529,0.2777
1249483,10,0.28303,0.28398,40.69138,0.1073
1773339,10,0.28417,0.28509,41.9664,6.4634
1297927,10,0.28513,0.28605,40.88255,0.1164
1312897,10,0.28578,0.28683,40.65082,0.2153
1862039,10,0.28699,0.28792,41.02013,0.1374
1334644,10,0.28805,0.2891,40.79063,0.1205
1313594,10,0.28834,0.2894,40.84993,0.0989
1457045,10,0.28848,0.28956,41.84104,136.2306
1334597,10,0.28895,0.29,40.72403,0.1191
1289288,10,0.29001,0.29093,40.8731,0.1653
1538019,10,0.29069,0.29162,40.89234,0.1033
1371022,10,0.29082,0.29178,40.89713,0.1577
1861178,10,0.29093,0.29201,40.58483,0.1372
1531089,10,0.29149,0.29241,40.74212,0.1116
1302123,10,0.29156,0.29207,40.86883,0.1032
1263715,10,0.29185,0.29279,40.83596,0.127
1292227,10,0.29185,0.29279,40.78485,0.1547
1291090,10,0.29199,0.29292,40.86884,0.1247
1262550,10,0.29209,0.29304,40.82885,0.1078
1336454,10,0.29256,0.2935,41.88914,30.5834
1340706,10,0.29323,0.29425,40.88986,0.2023
1266255,10,0.29358,0.29461,40.99129,0.1076
1721068,10,0.29376,0.29425,40.89113,0.1816
1256680,10,0.29438,0.29546,41.07496,0.1846
1250665,10,0.29461,0.29564,40.91041,0.1873
1310432,10,0.29471,0.29574,40.88079,0.1629
1299503,10,0.29498,0.29602,43.93669,248.0366
1300703,10,0.29571,0.29674,41.04146,0.1368
1295436,10,0.29584,0.29687,42.4282,223.8633
1257934,10,0.29648,0.29739,40.82165,0.1308
1293319,10,0.29686,0.2979,40.89235,0.1636
1291346,10,0.2977,0.29876,40.71277,0.1383
1901115,10,0.29874,0.29979,40.92345,0.1893
1305051,10,0.29887,0.2998,41.0903,0.1421
1547071,10,0.29911,0.29961,40.90452,0.2192
1293275,10,0.30179,0.30283,41.80664,47.043
1321006,10,0.30244,0.30348,41.1294,0.118
1294948,10,0.30246,0.30291,40.40637,4.0643
1339002,10,0.30251,0.30356,40.93181,0.1755
1334654,10,0.30259,0.30365,42.00282,15.5403
1905171,10,0.30307,0.30404,41.04589,0.213
1659022,10,0.30317,0.30421,41.38656,129.9918
1259412,10,0.30477,0.30581,40.93882,0.0984
1335717,10,0.30477,0.30528,41.1145,0.1841
1861124,10,0.30511,0.30602,40.37324,169.2725
1340954,10,0.30517,0.30566,40.87119,0.138
1849051,10,0.30546,0.3065,40.93135,0.1245
1368131,10,0.30694,0.308,40.93472,0.0905
1281668,10,0.30697,0.30791,41.00668,0.1151
1777124,10,0.30743,0.30853,41.34191,0.1595
1319821,10,0.3088,0.30929,41.09949,0.1098
1292767,10,0.30893,0.30996,40.93935,0.1835
1650024,10,0.30994,0.31102,41.14081,0.139
1848053,10,0.31016,0.31121,41.7196,25.5919
1300516,10,0.31042,0.31151,40.68442,0.2425
1321338,10,0.31048,0.31153,41.08142,0.1611
1264434,10,0.31075,0.31179,40.85079,0.1347
1323831,10,0.31079,0.31131,41.72013,258.7145
1338128,10,0.31184,0.3128,41.13838,0.1588
1791116,10,0.31193,0.31286,41.03378,0.1277
1337838,10,0.31194,0.313,41.03821,0.1303
1263369,10,0.31251,0.31343,41.06449,0.1108
1294743,10,0.31257,0.31363,41.05905,0.2082
1662023,10,0.31268,0.31374,40.87877,0.1075
1321365,10,0.3127,0.31375,42.23841,195.0641
1283878,10,0.31286,0.3139,41.10731,0.114
1341894,10,0.31293,0.31401,41.09265,0.1346
1850045,10,0.31314,0.31413,40.95914,0.1765
1880686,10,0.31406,0.31457,41.01342,0.1067
1943111,10,0.31562,0.31615,41.11746,0.1092
1929024,10,0.31564,0.31613,41.12722,0.2304
1913214,10,0.31615,0.31721,41.10099,0.1151
1300179,10,0.31722,0.31818,41.10583,0.1381
1265165,10,0.31752,0.31845,41.325,0.2013
1345553,10,0.31794,0.31902,41.1955,0.1235
1625037,10,0.31863,0.31956,41.14129,0.1286
1253119,10,0.31915,0.3201,41.11731,0.1342
1897267,10,0.3192,0.31971,41.09362,0.2375
1259615,10,0.32008,0.32116,41.245,0.1491
1293366,10,0.3204,0.32145,41.26326,0.1538
1566028,10,0.32059,0.32165,41.06264,0.1387
1246527,10,0.32078,0.32184,41.19991,0.1387
1366482,10,0.32154,0.32206,41.20996,0.1495
1261579,10,0.32214,0.3232,40.97363,0.1064
1310396,10,0.3225,0.32358,41.21681,0.1051
1891147,10,0.32274,0.3238,41.12372,0.141
1248243,10,0.32394,0.32489,41.20068,0.1305
1292033,10,0.32472,0.32565,41.23036,0.149
1592028,10,0.3251,0.32608,41.15482,0.1419
1340700,10,0.3255,0.32657,41.0611,0.1836
1305626,10,0.32572,0.3268,41.14461,0.1054
1308326,10,0.32622,0.32717,41.15016,0.1152
1469040,10,0.3267,0.32764,41.19884,0.1365
1314071,10,0.32707,0.32813,40.96772,0.1501
1259511,10,0.3271,0.32816,41.23238,0.0826
1306073,10,0.32858,0.32964,41.15561,0.1025
1303215,10,0.32869,0.32917,41.61532,0.2189
1337687,10,0.32869,0.32917,41.13399,0.1199
1293783,10,0.32874,0.32927,41.12827,0.1753
1316465,10,0.32909,0.32961,41.09302,0.1402
1266808,10,0.3293,0.3304,42.20032,200.9551
1301933,10,0.32959,0.33065,41.25571,0.0986
1569050,10,0.32988,0.33086,41.10156,0.2105
1653101,10,0.33,0.3305,41.36497,0.2109
1847079,10,0.33041,0.33134,41.00674,0.1993
1338675,10,0.33047,0.33153,41.20651,0.1893
1264068,10,0.33054,0.33147,41.32269,0.1293
1370320,10,0.3307,0.33165,41.23123,0.1243
1321276,10,0.33121,0.33227,41.34494,0.1268
1249416,10,0.33169,0.33267,42.5494,191.4833
1449074,10,0.33186,0.33234,41.23828,0.1149
1339217,10,0.33191,0.33245,41.09795,0.2958
1306141,10,0.33239,0.33286,41.05229,0.1308
1257356,10,0.33257,0.33307,41.07062,0.1195
1260241,10,0.33336,0.33442,41.22274,0.1175
1309492,10,0.33352,0.33403,41.0983,0.1097
1346956,10,0.33352,0.334,41.1466,0.149
1295024,10,0.33386,0.33494,41.51629,0.1646
