# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# PROB1A_BEAMS = SNIa BEAMS probability from BBC (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS PROBIA_BEAMS
SN: 1313230     10 0.21792 0.21883 40.09533   0.09240  0.01100  0.02536  1.00000
SN: 1295062     10 0.21839 0.21938 40.02372   0.26990  0.01090  0.14287  0.99886
SN: 1290816     10 0.21847 0.21892 40.33199   0.15640  0.01090  0.04296  1.00000
SN: 1919017     10 0.21849 0.21939 40.16969   0.20600  0.01090  0.08471  1.00000
SN: 1304678     10 0.21883 0.21927 40.10832   0.10560  0.01090  0.02976  1.00000
SN: 1342255     10 0.21885 0.21976 40.05019   0.11010  0.01090  0.03237  1.00000
SN: 1250912     10 0.21898 0.21995 40.35139   0.17790  0.01090  0.20356  1.00000
SN: 1682020     10 0.21924 0.22015 39.95223   0.09820  0.01090  0.03281  1.00000
SN: 1302187     10 0.21942 0.21992 39.97176   0.19940  0.01090  0.14130  1.00000
SN: 1259352     10 0.21986 0.22034 40.05098   0.13930  0.01090  0.02452  1.00000
SN: 1867019     10 0.22101 0.22191 40.44001   0.17150  0.01080  0.22317  1.00000
SN: 1331123     10 0.22157 0.22248 40.29992   0.11110  0.01080  0.03042  1.00000
SN: 1929063     10 0.22211 0.22300 40.13732   0.19970  0.01080  0.06662  1.00000
SN: 1259246     10 0.22284 0.22330 40.13835   0.16660  0.01070  0.04005  1.00000
SN: 1249137     10 0.22305 0.22397 40.19598   0.20780  0.01070  0.08148  1.00000
SN: 1641279     10 0.22398 0.22490 40.16423   0.10360  0.01070  0.02506  1.00000
SN: 1878148     10 0.22453 0.22540 40.23711   0.11690  0.01070  0.02888  1.00000
SN: 1292560     10 0.22482 0.22582 40.25413   0.09650  0.01060  0.01967  1.00000
SN: 1248039     10 0.22566 0.22666 40.19039   0.19550  0.01060  0.12325  0.99999
SN: 1315192     10 0.22714 0.22800 40.14141   0.15950  0.01050  0.03905  1.00000
SN: 1249308     10 0.22806 0.22896 40.48156   0.18800  0.01050  0.06422  0.99831
SN: 1315259     10 0.22806 0.22896 40.22982   0.15070  0.01050  0.02859  1.00000
SN: 1879426     10 0.22941 0.22990 40.24081   0.09680  0.01040  0.02801  1.00000
SN: 1288083     10 0.23048 0.23147 40.25078   0.12980  0.01040  0.04772  1.00000
SN: 1291149     10 0.23057 0.23156 42.33085  239.55490  0.01040  0.05202  0.00000
SN: 1262746     10 0.23079 0.23176 40.30512   0.11900  0.01040  0.01655  1.00000
SN: 1302648     10 0.23171 0.23259 40.14872   0.17150  0.01040  0.05769  1.00000
SN: 1275946     10 0.23212 0.23300 40.33816   0.11400  0.01030  0.03289  1.00000
SN: 1310367     10 0.23332 0.23433 40.43019   0.11560  0.01030  0.04602  1.00000
